protein1 protein2 experimental database textmining combined_score
1028307.EAE_00375 1028307.EAE_07830 238 0 117 298
1028307.EAE_00375 1028307.EAE_17965 0 650 0 650
1028307.EAE_00375 1028307.EAE_17080 155 0 0 154
1028307.EAE_00375 1028307.EAE_00815 109 0 125 187
1028307.EAE_00375 1028307.EAE_04670 0 0 548 548
1028307.EAE_00375 1028307.EAE_06705 288 0 201 406
1028307.EAE_00375 1028307.EAE_06535 0 650 0 650
1028307.EAE_00375 1028307.EAE_13595 0 600 0 600
1028307.EAE_00375 1028307.EAE_02975 0 600 0 600
1028307.EAE_00375 1028307.EAE_06530 288 0 201 406
1028307.EAE_00375 1028307.EAE_17350 213 0 0 213
1028307.EAE_00375 1028307.EAE_16415 498 0 270 617
1028307.EAE_00375 1028307.EAE_09080 213 0 0 213
1028307.EAE_00375 1028307.EAE_05470 238 0 0 237
1028307.EAE_00375 1028307.EAE_20145 238 0 63 255
1028307.EAE_00375 1028307.EAE_23865 109 0 125 187
1028307.EAE_00375 1028307.EAE_09845 278 0 149 359
1028307.EAE_00375 1028307.EAE_02225 136 0 153 236
1028307.EAE_00375 1028307.EAE_00365 984 0 583 993
1028307.EAE_00375 1028307.EAE_06820 238 0 63 255
1028307.EAE_00375 1028307.EAE_06945 288 0 201 406
1028307.EAE_00375 1028307.EAE_01625 288 0 201 406
1028307.EAE_00375 1028307.EAE_02855 0 650 0 650
1028307.EAE_00375 1028307.EAE_23860 288 0 201 406
1028307.EAE_00385 1028307.EAE_04095 177 0 0 177
1028307.EAE_00390 1028307.EAE_24275 165 0 0 165
1028307.EAE_00390 1028307.EAE_10970 215 0 0 215
1028307.EAE_00390 1028307.EAE_17090 196 0 0 196
1028307.EAE_00395 1028307.EAE_01860 0 650 0 650
1028307.EAE_00395 1028307.EAE_11325 253 0 0 252
1028307.EAE_00395 1028307.EAE_10550 0 650 0 650
1028307.EAE_00395 1028307.EAE_13035 0 650 0 650
1028307.EAE_00395 1028307.EAE_18845 168 0 0 167
1028307.EAE_00395 1028307.EAE_18920 0 650 0 650
1028307.EAE_00395 1028307.EAE_04420 168 0 0 167
1028307.EAE_00395 1028307.EAE_22580 0 0 183 183
1028307.EAE_00395 1028307.EAE_01585 168 0 0 167
1028307.EAE_00395 1028307.EAE_00665 336 0 0 336
1028307.EAE_00395 1028307.EAE_21415 0 0 183 183
1028307.EAE_00395 1028307.EAE_12985 0 0 336 336
1028307.EAE_00395 1028307.EAE_05220 0 650 0 650
1028307.EAE_00395 1028307.EAE_23400 0 0 235 235
1028307.EAE_00400 1028307.EAE_00320 186 0 0 186
1028307.EAE_00400 1028307.EAE_07680 202 0 0 202
1028307.EAE_00400 1028307.EAE_06245 186 864 270 912
1028307.EAE_00400 1028307.EAE_18220 164 0 0 163
1028307.EAE_00400 1028307.EAE_14420 164 0 0 163
1028307.EAE_00400 1028307.EAE_01970 261 0 0 261
1028307.EAE_00400 1028307.EAE_16895 237 0 0 237
1028307.EAE_00400 1028307.EAE_11965 115 631 135 692
1028307.EAE_00400 1028307.EAE_03480 200 0 232 359
1028307.EAE_00400 1028307.EAE_07595 200 0 183 318
1028307.EAE_00400 1028307.EAE_09345 164 0 0 163
1028307.EAE_00400 1028307.EAE_18840 200 0 183 318
1028307.EAE_00400 1028307.EAE_14510 222 0 0 222
1028307.EAE_00400 1028307.EAE_14900 202 0 0 202
1028307.EAE_00405 1028307.EAE_01895 0 650 0 650
1028307.EAE_00405 1028307.EAE_00410 0 0 680 680
1028307.EAE_00405 1028307.EAE_01900 0 650 0 650
1028307.EAE_00410 1028307.EAE_06815 0 0 246 245
1028307.EAE_00410 1028307.EAE_00415 0 0 681 681
1028307.EAE_00410 1028307.EAE_00405 0 0 680 680
1028307.EAE_00410 1028307.EAE_01900 0 650 0 650
1028307.EAE_00410 1028307.EAE_06495 0 0 600 600
