protein1 protein2 experimental database textmining combined_score
573.JG24_00795 573.JG24_29040 237 0 0 237
573.JG24_00795 573.JG24_18515 86 277 0 310
573.JG24_00795 573.JG24_18000 267 0 0 267
573.JG24_00795 573.JG24_10590 255 0 149 338
573.JG24_00795 573.JG24_21350 255 0 149 338
573.JG24_00795 573.JG24_01530 134 0 125 209
573.JG24_00795 573.JG24_03455 104 107 0 165
573.JG24_00795 573.JG24_18815 134 0 125 209
573.JG24_00795 573.JG24_18715 195 0 0 195
573.JG24_00795 573.JG24_06000 195 0 0 195
573.JG24_00795 573.JG24_04840 182 0 104 235
573.JG24_00795 573.JG24_10300 104 107 0 165
573.JG24_00795 573.JG24_18520 191 488 0 568
573.JG24_00795 573.JG24_21345 307 0 252 459
573.JG24_00795 573.JG24_25055 195 0 0 195
573.JG24_00795 573.JG24_10585 104 107 0 165
573.JG24_00795 573.JG24_02790 134 0 125 209
573.JG24_00795 573.JG24_18770 240 0 207 371
573.JG24_00795 573.JG24_08140 280 0 0 280
573.JG24_00795 573.JG24_10230 259 0 127 325
573.JG24_00795 573.JG24_05325 104 107 0 165
573.JG24_00795 573.JG24_11715 237 0 0 237
573.JG24_00795 573.JG24_19465 104 107 0 165
573.JG24_00795 573.JG24_04695 195 0 0 195
573.JG24_00795 573.JG24_26625 263 0 0 263
