protein1 protein2 experimental database textmining combined_score
1280.SAXN108_0019 1280.SAXN108_0565 193 0 0 193
1280.SAXN108_0019 1280.SAXN108_2135 170 0 0 169
1280.SAXN108_0019 1280.SAXN108_0113 168 63 0 187
1280.SAXN108_0019 1280.SAXN108_1284 168 63 0 187
1280.SAXN108_0019 1280.SAXN108_1070 209 0 0 209
1280.SAXN108_0019 1280.SAXN108_1491 171 0 0 171
1280.SAXN108_0019 1280.SAXN108_2871 255 0 0 254
1280.SAXN108_0019 1280.SAXN108_0937 298 0 0 298
1280.SAXN108_0019 1280.SAXN108_2726 168 63 0 187
1280.SAXN108_0019 1280.SAXN108_0252 170 0 0 169
1280.SAXN108_0019 1280.SAXN108_2577 168 63 0 187
